id,name,imdb_id,year
8,9,,
9,A Dog's Purpose,,
10,After the Dark,,
11,Amélie,,
12,Apollo 13,,
13,Atlantis: The Lost Empire,,
14,Baahubali 2: The Conclusion,,
15,Baahubali: The Beginning,,
16,Bad Boys,,
17,Bajirao Mastani,,
18,Batman Forever,,
19,Batman & Robin,,
20,Bee Movie,,
21,Best In Show,,
22,Beverly Hills Cop,,
23,Booksmart,,
24,Brassed Off,,
25,Chicken Run,,
26,Children of Men,,
27,Chitty Chitty Bang Bang,,
28,City of God,,
29,Clue,,
30,Cool Runnings,,
31,Coraline,,
32,Die Hard,,
33,District 9,,
34,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,
35,Down Periscope,,
36,Dredd,,
37,Encanto,,
38,Everything Everywhere All at Once,,
39,Exam,,
40,Ex Machina,,
41,Face/Off,,
42,Falling Down,,
43,Fargo,,
44,Flubber,,
45,Galaxy Quest,,
46,Gattaca,,
47,George of the Jungle,,
48,Ghostbuster II,,
49,Gremlins,,
50,Heathers,,
51,He-Man & She-Ra: A Christmas Special,,
52,Hocus Pocus,,
53,Home Alone,,
54,Hot Rod,,
55,How the Grinch Stole Christmas,,
56,Idiocracy,,
57,Into the Woods,,
58,Italian Spiderman,,
59,James and the Giant Peach,,
60,Jingle All The Way,,
61,Joe Dirt,,
62,Kazaam,,
63,Klaus,,
64,Kubo and the Two Strings,,
65,"Kumiko, The Treasure Hunter",,
66,Labyrinth,,
67,Lightyear,,
68,Mac and Me,,
69,Mean Girls,,
70,Monty Python and the Holy Grail,,
71,Hitchhikers Guide to the Galaxy,,
72,Muppet Treasure Island,,
73,Napoleon Dynamite,,
74,National Security,,
75,Office Space,,
76,Once,,
77,Onward,,
78,Over the Garden Wall,,
79,Over the Hedge,,
80,Pan's Labyrinth,,
81,Princess Bride,,
82,Princess Mononoke,,
83,Ratatouille,,
84,Real Steel,,
85,Return to Oz,,
86,Rubber,,
87,Rudolph the Red-Nosed Reindeer,,
88,Rush,,
89,Rush Hour,,
90,Sailor Moon S: Hearts in Ice,,
91,Samrat Prithviraj,,
92,Scent of a Woman,,
93,Scooby-Doo,,
94,Scooby-Doo on Zombie Island,,
95,Scott Pilgrim vs The World,,
96,Shanghai Noon,,
97,Shining,,
98,Shrek the Halls,,
99,Silent Running,,
100,Smokey and the Bandit,,
101,Space Jam,,
102,Stardust,,
103,Starship Troopers,,
104,Star Wars,,
105,Star Wars Episode V: Empire Strikes Back,,
106,Star Wars Episode VI: Return of the Jedi,,
107,Super Troopers,,
108,Sweeney Todd,,
109,Teenage Mutant Ninja Turtles,,
110,Tenacious D in The Pick of Destiny,,
111,The Adventures of Tintin,,
112,The Bird With The Crystal Plumage,,
113,The Boy and the Beast,,
114,The Dark Crystal,,
115,The Emperor's New Groove,,
116,The Grand Budapest Hotel,,
117,The Greatest Showman,,
118,The Incredibles,,
119,The Iron Giant,,
120,The Lobster,,
121,The Mask,,
122,The NeverEnding Story,,
123,The Peanut Butter Solution,,
124,The Prestige,,
125,The Raid: Redemption,,
126,The Red Violin,,
127,The Road to El Dorado,,
128,The Room,,
129,The Secret World of Arrietty,,
130,The Spongebob Squarepants Movie,,
131,The Thing,,
132,The Truman Show,,
133,The Warriors,,
134,The Wild Thornberrys,,
135,The Wizard of Oz,,
136,The Wrong Guy,,
137,They Live,,
138,Top Gun,,
139,Train to Busan,,
140,Triplets of Belleville,,
141,Troll 2,,
142,Trolls,,
143,Trolls 2: World Tour,,
144,Tropic Thunder,,
145,Trumbo,,
146,Tucker and Dale vs Evil,,
147,UHF,,
148,Undercover Blues,,
149,Waiting...,,
150,Wallace & Gromit: The Curse of the Were-Rabbit,,
151,What We Do in the Shadows,,
152,Wild Wild West,,
153,Yojimbo,,
154,Your Highness,,
155,Zootopia,,
160,Bean Curd 6,,
161,blah blah,,
163,bingle bop,,
164,Bill and Ted's Excellent Adventure,,
165,bean squad,,
166,Despicable Me,,
167,Johnny English,,
168,Star Wars: Episode I - The Phantom Menace,,
169,The Royal Tenenbaums,,
170,Shrek 2,,
171,The Nice Guys,,
172,Megamind,,
173,Headhunters,,
174,Pink Floyd's: The Wall,,
175,20,,
176,Blow Out,,
177,Star Wars: Episode II - The Attack of the Clones,,
178,The Craft,,
179,Reservoir Dogs,,
180,Mamma Mia!,,
181,My Life as a Zucchini,,
182,Incredibles 2,,
183,Pokemon: The First Movie,,
184,Haunted Mansion,,
185,Hell or Highwater,,
186,The Terminator,,
187,Bloodsport,,
188,The Skateboard Kid,,
189,Star Wars: Episode III - The Revenge of the Sith,,
190,Scrooged,,
191,Elf,,
192,Pulp Fiction,,
193,Trolls Band Together,,
194,Shaolin Soccer,,
195,Dude Where's My Car,,
196,Terminator 2: Judgement Day,,
197,Digimon: The Movie,,
198,Mamma Mia 2,,
199,Mamma Mia! Here We Go Again,,
200,Bridesmaids,,
201,Trolljegeren,,
202,Dog Day Afternoon,,
203,The Faculty,,
204,FernGully: The Last Rainforest,,
205,Commando,,
206,Toys,,
207,Small Soldiers,,
208,Mean Girls 2024,,
209,The Mighty Ducks,,
210,Margin Call,,
211,Matilda: The Musical,,
212,Troll,,
213,Nothing,,
214,We're Back! A Dinosaur's Story,,
215,Ronin,,
216,9 to 5,,
217,Ted,,
218,Toy Story 2,,
219,Just My Luck,,
220,Hardball,,
221,Suburban Commando,,
222,Velocipastor,,
223,Luca,,
224,Boxtrolls,,
225,Monkey Man,,
226,Austin Powers: International Man of Mystery,,
227,Airplane!,,
228,Monster's University,,
229,Kung Pow Enter the Fist,,
230,War Horse,,
231,Alien,,
232,Source Code,,
233,Free Birds,,
234,Memento,,
235,We're The Millers,,
236,Dr. Strangelove,,
237,Savage Killers,,
238,Red One,,
239,Young Ip Man: Crisis Time,,
240,The Life Aquatic with Steve Zissou,,
241,The Wicker Man,,
242,Legally Blonde The Musical,,
243,Paws of Fury: The Legend of Hank,,
244,Pokemon the Movie 2000,,
245,Stranger Than Fiction,,
246,Under Paris,,
247,Walk All Over Me,,
248,Thelma,,
249,I Origins,,
250,Pirates of the Caribbean: The Curse of the Black Pearl,,
251,Hackers,,
252,Thelma the Unicorn,,
253,Smart House,,
254,Fubar II,,
255,Osmosis Jones,,
256,Junior,,
257,Running Scared,,
258,Owning Mahowny,,
259,Memoir of a Snail,,
260,Canadian Bacon,,
261,Rocky (1976),,
262,Warriors of Virtue,,
263,Our Drawings,,
264,Blast from the Past,,
265,Never Been Thawed,,
266,Adrift (2018),,
267,Sky Captain and the World of Tomorrow,,
268,Hook,,
269,Spaceballs,,
270,The People's Joker,,
271,Layer Cake,,
272,The Birdcage,,
273,RRRrrr!!!,,
274,The Lighthouse,,
275,Popstar: Never Stop Never Stopping,,
276,Dancing Ninja,,
277,Hellboy (2004),,
278,Killer Sofa,,
279,Casper,,
280,Primitive War,,
281,The Lion King 1 1/2,,
282,Zoolander,,
283,A Very Jonas Christmas Movie,,
284,Tokyo Godfathers,,
285,The Adventures of Mark Twain (1985),,
286,Footloose (2011),,
287,Sixteen Candles,,
288,KPop Demon Hunters,,
289,Star Trek II: The Wrath of Kahn,,
290,Strictly Ballroom,,
291,The Adventures of Mark Twain (1944),,
292,17 Again,,
293,High School Musical,,
294,My Neighbour Totoro,,
295,Seventeen Again,,
296,Unhinged,,
297,RRR,,
298,The Italian Job (2003),,
299,Burn After Reading,,
300,"Good Luck, Have Fun, Don't Die",,
301,Drunken Master,,
302,Dust Bunny,,
303,It's Kind of A Funny Story,,
304,Forbidden Fruits,,